PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=2.34406782, quoteVolume=29330620.165609, weightedAverage=7.0E-8]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=0.17309772, quoteVolume=2155900.9736889, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=1.22550342, quoteVolume=13814649.179026, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=1.179586, quoteVolume=13397656.173844, weightedAverage=8.0E-8]
PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=4.81334044, quoteVolume=54981193.370527, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=2.67545113, quoteVolume=33330523.718669, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=22.57719148, quoteVolume=245791480.40905, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=5.14048386, quoteVolume=57523970.395411, weightedAverage=8.0E-8]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=1.84629025, quoteVolume=21950631.472241, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=3.38083024, quoteVolume=42192489.73664, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=4.68823731, quoteVolume=54174713.410317, weightedAverage=8.0E-8]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=8.24374377, quoteVolume=91092903.05273, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=5.27006161, quoteVolume=55068764.876874, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=4.03320316, quoteVolume=42437113.988963, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=4.63584211, quoteVolume=50190941.760715, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=2.60060002, quoteVolume=28174380.209677, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=3.29234563, quoteVolume=35507422.039082, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=3.04278745, quoteVolume=31317011.051623, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=9.48658072, quoteVolume=97727914.701404, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=3.53537735, quoteVolume=36779574.06052, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=1.9030729, quoteVolume=20423987.351627, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=1.52355497, quoteVolume=16310820.748073, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=0.86429744, quoteVolume=9266405.9841904, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=1.60504645, quoteVolume=17403726.358939, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=4.25804975, quoteVolume=46160186.228333, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=1.60417317, quoteVolume=16873770.871799, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=8.55265694, quoteVolume=95054787.999449, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=11.50331417, quoteVolume=135162029.99054, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=3.96717465, quoteVolume=41325377.072496, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=8.30228095, quoteVolume=102575217.27802, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=1.04493303, quoteVolume=12662203.549781, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=3.30912599, quoteVolume=40770556.074101, weightedAverage=8.0E-8]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=8.0E-8, volume=4.03834274, quoteVolume=50568438.793646, weightedAverage=7.0E-8]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=1.2E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=32.50463657, quoteVolume=323488029.34709, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=6.85847686, quoteVolume=71962108.18473, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Aug 30 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=1.1E-7, volume=2.91690813, quoteVolume=28333336.952817, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Aug 31 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=14.77161151, quoteVolume=137205735.4537, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Sep 01 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=5.26201625, quoteVolume=52309632.301238, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Sep 02 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=14.76946586, quoteVolume=151336402.70355, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Sep 03 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=9.0E-8, volume=11.91849463, quoteVolume=129534860.46654, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Sep 04 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=5.18582435, quoteVolume=53755249.687139, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Sep 05 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=22.97750725, quoteVolume=259908740.76033, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Sep 06 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=5.60053982, quoteVolume=58146360.731907, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Sep 07 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=4.57410673, quoteVolume=49763250.957952, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Sep 08 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=2.70236368, quoteVolume=28238570.40351, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Sep 09 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=3.79223898, quoteVolume=40419283.530903, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Sep 10 20:00:00 EDT 2016, high=1.2E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=29.52118562, quoteVolume=279291118.98283, weightedAverage=1.0E-7]
PoloniexChartData [date=Sun Sep 11 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=14.57292548, quoteVolume=139750935.5766, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Sep 12 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=23.26790474, quoteVolume=219203495.41274, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Sep 13 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=4.11115395, quoteVolume=39023049.092338, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Sep 14 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=7.13899981, quoteVolume=67813084.734017, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Sep 15 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=15.24649225, quoteVolume=136317449.85822, weightedAverage=1.1E-7]
PoloniexChartData [date=Fri Sep 16 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=8.27379444, quoteVolume=71699824.85222, weightedAverage=1.1E-7]
PoloniexChartData [date=Sat Sep 17 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.1E-7, volume=5.42514359, quoteVolume=45803095.22998, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Sep 18 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=7.2928353, quoteVolume=66131965.628844, weightedAverage=1.1E-7]
PoloniexChartData [date=Mon Sep 19 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=6.10553301, quoteVolume=59127841.671084, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Sep 20 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=9.58835689, quoteVolume=89993635.75472, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Sep 21 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=1.30384573, quoteVolume=12515037.831208, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Sep 22 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=3.31861726, quoteVolume=32869656.969621, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Sep 23 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=2.68929591, quoteVolume=26438133.619778, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Sep 24 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=1.83951164, quoteVolume=18147527.667976, weightedAverage=1.0E-7]
PoloniexChartData [date=Sun Sep 25 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=0.76999547, quoteVolume=7610859.2014845, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Sep 26 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=1.01422065, quoteVolume=9779394.4571414, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Sep 27 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=2.34709193, quoteVolume=23089752.071109, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Sep 28 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=5.6732332, quoteVolume=56794434.368644, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Sep 29 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=0.94859414, quoteVolume=10005046.225879, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Sep 30 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=9.17360966, quoteVolume=97279113.072031, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Oct 01 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=2.18376994, quoteVolume=22502569.929794, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Oct 02 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=2.07733375, quoteVolume=22726734.849682, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Oct 03 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=1.98597254, quoteVolume=21769232.666392, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Oct 04 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=2.70663563, quoteVolume=29952061.053879, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Oct 05 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=1.25832714, quoteVolume=13029636.173376, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Oct 06 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=3.10269679, quoteVolume=31947971.993376, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Oct 07 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=1.03979331, quoteVolume=11459171.487211, weightedAverage=9.0E-8]
