PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=5.7E-7, low=4.5E-7, open=4.7E-7, close=5.2E-7, volume=3.01719927, quoteVolume=5882451.1921235, weightedAverage=5.1E-7]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=5.3E-7, low=4.2E-7, open=5.2E-7, close=4.7E-7, volume=1.76939174, quoteVolume=3700463.4964977, weightedAverage=4.7E-7]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=5.5E-7, low=4.6E-7, open=4.9E-7, close=5.0E-7, volume=13.09617406, quoteVolume=25504222.211015, weightedAverage=5.1E-7]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=5.1E-7, low=3.7E-7, open=5.0E-7, close=4.3E-7, volume=4.40402051, quoteVolume=10259494.433529, weightedAverage=4.2E-7]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=4.8E-7, low=3.9E-7, open=4.2E-7, close=4.2E-7, volume=1.41398059, quoteVolume=3327967.2843471, weightedAverage=4.2E-7]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=4.7E-7, low=4.2E-7, open=4.4E-7, close=4.6E-7, volume=0.35351176, quoteVolume=788105.59161096, weightedAverage=4.4E-7]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=4.8E-7, low=4.4E-7, open=4.6E-7, close=4.5E-7, volume=1.10200964, quoteVolume=2402152.8631532, weightedAverage=4.5E-7]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=5.1E-7, low=4.5E-7, open=4.8E-7, close=4.9E-7, volume=2.03717942, quoteVolume=4234404.0540638, weightedAverage=4.8E-7]
PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=5.0E-7, low=4.5E-7, open=4.9E-7, close=5.0E-7, volume=1.85207327, quoteVolume=3860493.484103, weightedAverage=4.7E-7]
PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=5.2E-7, low=4.2E-7, open=5.0E-7, close=4.7E-7, volume=5.46744714, quoteVolume=11253709.876781, weightedAverage=4.8E-7]
