Date,Open,High,Low,Close,Volume,Adj Close
2015-05-18,26.639999,26.85,25.50,25.82,4228000,12.868061
2015-05-15,25.23,26.73,24.59,25.860001,5525000,12.887996
2015-05-14,26.360001,27.60,25.23,25.389999,7218000,12.653759
2015-05-13,24.90,26.09,24.48,25.58,6779000,12.748451
2015-05-12,22.82,23.77,22.68,23.60,5061000,11.761667
2015-05-11,22.40,22.99,21.35,22.440001,5244000,11.183551
2015-05-08,21.959999,22.48,20.940001,22.07,7085000,10.999152
2015-05-07,20.690001,21.50,19.860001,21.50,6369000,10.715078
2015-05-06,22.790001,22.879999,20.879999,21.34,7916000,10.635338
2015-05-05,23.74,24.16,21.75,22.40,6179000,11.163616
2015-05-04,22.799999,23.40,22.280001,23.16,5480000,11.542381
2015-05-01,20.639999,21.57,20.25,21.549999,4055000,10.739996
2015-04-30,21.870001,21.870001,20.700001,21.50,7124000,10.715078
2015-04-29,23.91,25.23,22.85,23.530001,7967000,11.726781
2015-04-28,21.809999,23.879999,21.73,23.85,7547000,11.886261
2015-04-27,20.209999,22.10,20.059999,21.43,7772000,10.680192
2015-04-24,20.709999,21.459999,19.60,19.690001,7004000,9.813018
2015-04-23,20.07,21.629999,19.83,21.24,7044000,10.5855
2015-04-22,21.50,21.91,19.799999,19.83,6658000,9.88279
2015-04-21,21.08,22.35,20.809999,21.860001,4958000,10.894493
2015-04-20,20.17,21.299999,19.799999,21.25,4582000,10.590484
2015-04-17,21.26,21.93,20.68,20.889999,4266000,10.411068
2015-04-16,22.049999,22.65,20.32,21.280001,6319000,10.605436
2015-04-15,19.799999,22.00,19.549999,21.83,7069000,10.879542
2015-04-14,19.25,20.18,18.950001,19.280001,6065000,9.608684
2015-04-13,20.17,20.50,18.889999,19.200001,6079000,9.568814
2015-04-10,19.82,20.540001,19.799999,20.389999,8259000,10.161881
2015-04-09,18.959999,18.959999,18.190001,18.65,5557000,9.294707
2015-04-08,20.35,20.76,18.860001,19.33,7137000,9.633603
2015-04-07,21.25,21.559999,20.00,20.200001,6091000,10.06719
2015-04-06,21.50,22.07,20.959999,21.809999,7724000,10.869574
2015-04-02,19.540001,20.07,18.18,19.040001,7551000,9.489074
2015-04-01,17.549999,19.98,17.41,19.870001,11166000,9.902726
2015-03-31,17.49,17.879999,16.24,16.959999,6445000,8.452452
2015-03-30,17.77,18.139999,16.85,17.10,7326000,8.522225
2015-03-27,19.700001,20.09,18.41,19.02,7698000,9.479106
2015-03-26,22.540001,22.99,19.52,20.00,8844000,9.967514
2015-03-25,22.85,23.309999,21.370001,21.48,5932000,10.70511
2015-03-24,22.440001,22.50,21.389999,22.40,5579000,11.163616
2015-03-23,21.120001,22.219999,20.75,22.209999,7677000,11.068924
2015-03-20,18.950001,20.99,18.780001,20.450001,8732000,10.191784
2015-03-19,17.34,18.879999,16.92,18.299999,8012000,9.120275
2015-03-18,15.01,18.299999,14.53,18.219999,13607000,9.080405
2015-03-17,14.96,16.639999,14.72,14.96,10009000,7.455701
2015-03-16,16.549999,16.969999,15.50,15.99,8340000,7.969028
2015-03-13,16.49,16.76,14.85,16.76,12404000,8.352777
2015-03-12,17.299999,17.60,15.57,15.81,14042000,7.87932
2015-03-11,14.43,16.790001,13.25,16.67,20599000,8.307923
2015-03-10,16.440001,16.93,13.16,14.61,18715000,7.281269
2015-03-09,20.00,20.040001,16.450001,16.50,12949000,8.223199
2015-03-06,22.209999,22.700001,19.35,19.59,11651000,9.76318
2015-03-05,25.540001,26.50,24.559999,25.09,3600000,12.504247
2015-03-04,26.799999,27.209999,24.879999,25.00,5017000,12.459393
2015-03-03,28.08,29.00,26.379999,27.00,4604000,13.456144
2015-03-02,29.700001,30.049999,27.33,27.950001,3597000,13.929602
2015-02-27,29.450001,30.200001,28.74,29.190001,3505000,14.547587
2015-02-26,29.82,29.90,28.059999,28.57,3669000,14.238594
2015-02-25,27.90,28.879999,27.49,28.00,5345000,13.95452
2015-02-24,26.07,27.450001,25.41,26.889999,4366000,13.401323
2015-02-23,26.00,28.389999,26.00,26.73,4861000,13.321583
2015-02-20,28.84,29.709999,26.93,27.09,5148000,13.500998
2015-02-19,30.16,30.91,28.07,28.370001,4325000,14.138919
2015-02-18,28.24,30.66,26.85,30.280001,6339000,15.090817
2015-02-17,28.799999,29.469999,27.85,28.18,4727000,14.044228
2015-02-13,31.01,32.00,30.84,30.90,3888000,15.399809
2015-02-12,29.940001,30.700001,29.219999,29.76,4339000,14.831661
2015-02-11,30.610001,30.889999,28.18,28.870001,5184000,14.388107
2015-02-10,31.059999,31.25,29.83,30.110001,4639000,15.006093
2015-02-09,31.299999,32.50,31.139999,31.969999,3909000,15.933071
2015-02-06,30.85,33.27,30.00,30.01,8409000,14.956255
2015-02-05,32.639999,36.150002,32.200001,35.27,5763000,17.577712
2015-02-04,32.48,34.299999,31.440001,33.360001,4744000,16.625814
2015-02-03,32.77,34.029999,30.15,30.93,8234000,15.414761
2015-02-02,31.50,36.00,31.129999,33.540001,6976000,16.715522
2015-01-30,31.50,34.540001,30.00,34.099998,7140000,16.994611
2015-01-29,31.700001,32.990002,28.049999,30.42,8768000,15.160589
2015-01-28,39.360001,40.650002,33.389999,34.540001,6426000,17.213898
2015-01-27,38.470001,42.099998,37.700001,41.669998,5834000,20.767315
2015-01-26,33.130001,37.75,31.969999,37.740002,6097000,18.8087
2015-01-23,39.68,40.490002,34.689999,35.209999,7370000,17.547808
2015-01-22,45.459999,45.75,40.779999,41.32,5535000,20.592884
2015-01-21,47.880001,48.50,40.400002,43.790001,6310000,21.823873
2015-01-20,43.740002,46.00,42.77,45.549999,5388000,22.701013
2015-01-16,40.23,42.950001,39.290001,40.43,6650000,20.14933
2015-01-15,38.66,40.639999,37.939999,38.830002,6905000,19.35193
2015-01-14,39.34,39.759998,31.40,34.25,10566000,17.069368
2015-01-13,44.27,44.299999,34.790001,36.919998,11990000,18.40003
2015-01-12,36.98,42.470001,36.400002,41.25,7946000,20.557998
