PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=8.4E-7, low=1.9E-7, open=2.3E-7, close=4.1E-7, volume=530.60140518, quoteVolume=1060441537.6297, weightedAverage=5.0E-7]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=4.8E-7, low=2.8E-7, open=4.1E-7, close=3.1E-7, volume=96.36292703, quoteVolume=255494609.56007, weightedAverage=3.7E-7]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=3.1E-7, low=2.4E-7, open=3.1E-7, close=2.9E-7, volume=24.50386149, quoteVolume=90413648.07093, weightedAverage=2.7E-7]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=2.9E-7, low=2.5E-7, open=2.9E-7, close=2.7E-7, volume=6.72227762, quoteVolume=25241097.119832, weightedAverage=2.6E-7]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=2.8E-7, low=2.1E-7, open=2.6E-7, close=2.6E-7, volume=7.24693364, quoteVolume=30525336.071735, weightedAverage=2.3E-7]
PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=2.7E-7, low=2.3E-7, open=2.6E-7, close=2.5E-7, volume=4.86779473, quoteVolume=19642337.930899, weightedAverage=2.4E-7]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.6E-7, close=2.6E-7, volume=1.96122684, quoteVolume=7827168.6973498, weightedAverage=2.5E-7]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=3.8E-7, low=2.5E-7, open=2.7E-7, close=3.4E-7, volume=19.75376572, quoteVolume=60975273.329392, weightedAverage=3.2E-7]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=3.6E-7, low=2.6E-7, open=3.4E-7, close=2.9E-7, volume=8.71571633, quoteVolume=27963908.505247, weightedAverage=3.1E-7]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=3.2E-7, low=2.7E-7, open=2.8E-7, close=3.0E-7, volume=2.81898406, quoteVolume=9625382.0265214, weightedAverage=2.9E-7]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=3.0E-7, low=2.3E-7, open=3.0E-7, close=2.9E-7, volume=18.62352714, quoteVolume=71314514.894767, weightedAverage=2.6E-7]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=2.9E-7, low=2.8E-7, open=2.9E-7, close=2.8E-7, volume=2.19853925, quoteVolume=7841620.458304, weightedAverage=2.8E-7]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=2.9E-7, low=2.7E-7, open=2.9E-7, close=2.8E-7, volume=1.07265866, quoteVolume=3785945.0619329, weightedAverage=2.8E-7]
PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=2.9E-7, low=2.5E-7, open=2.9E-7, close=2.8E-7, volume=1.50515788, quoteVolume=5543565.8986586, weightedAverage=2.7E-7]
PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=2.8E-7, low=2.5E-7, open=2.8E-7, close=2.7E-7, volume=2.60843112, quoteVolume=10152816.02346, weightedAverage=2.5E-7]
PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=2.7E-7, low=2.4E-7, open=2.5E-7, close=2.6E-7, volume=0.68820768, quoteVolume=2791206.5003552, weightedAverage=2.4E-7]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=2.5E-7, low=2.4E-7, open=2.5E-7, close=2.4E-7, volume=1.23345807, quoteVolume=4977819.2123449, weightedAverage=2.4E-7]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.5E-7, close=2.6E-7, volume=0.66091863, quoteVolume=2670426.8397605, weightedAverage=2.4E-7]
PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.5E-7, close=2.6E-7, volume=0.94298999, quoteVolume=3739859.3767212, weightedAverage=2.5E-7]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=2.7E-7, low=2.2E-7, open=2.6E-7, close=2.2E-7, volume=5.50597914, quoteVolume=22908061.773368, weightedAverage=2.4E-7]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=2.5E-7, low=2.0E-7, open=2.3E-7, close=2.4E-7, volume=3.52095674, quoteVolume=16480761.019865, weightedAverage=2.1E-7]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=2.4E-7, low=2.1E-7, open=2.4E-7, close=2.3E-7, volume=1.44863516, quoteVolume=6788293.9512693, weightedAverage=2.1E-7]
PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=2.4E-7, low=2.0E-7, open=2.3E-7, close=2.3E-7, volume=2.44125708, quoteVolume=11607886.788715, weightedAverage=2.1E-7]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=2.3E-7, low=2.0E-7, open=2.3E-7, close=2.1E-7, volume=2.72339724, quoteVolume=12739929.72288, weightedAverage=2.1E-7]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=2.2E-7, low=2.0E-7, open=2.1E-7, close=2.2E-7, volume=0.97818599, quoteVolume=4842434.9263595, weightedAverage=2.0E-7]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=2.5E-7, low=1.9E-7, open=2.2E-7, close=2.2E-7, volume=7.72831793, quoteVolume=35104166.868255, weightedAverage=2.2E-7]
PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=2.4E-7, low=2.1E-7, open=2.3E-7, close=2.3E-7, volume=1.6006311, quoteVolume=7189215.250865, weightedAverage=2.2E-7]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=2.3E-7, low=2.1E-7, open=2.3E-7, close=2.1E-7, volume=0.60150656, quoteVolume=2741290.3568872, weightedAverage=2.1E-7]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=2.2E-7, low=1.7E-7, open=2.1E-7, close=1.9E-7, volume=7.34589889, quoteVolume=38372407.698383, weightedAverage=1.9E-7]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=2.1E-7, low=1.8E-7, open=1.8E-7, close=2.0E-7, volume=1.21610645, quoteVolume=6457812.1868912, weightedAverage=1.8E-7]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=2.0E-7, low=1.7E-7, open=2.0E-7, close=1.9E-7, volume=1.20574207, quoteVolume=6554634.6673066, weightedAverage=1.8E-7]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=2.0E-7, low=1.8E-7, open=1.9E-7, close=2.0E-7, volume=0.56690382, quoteVolume=2863512.8966832, weightedAverage=1.9E-7]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=2.2E-7, low=1.8E-7, open=2.0E-7, close=2.2E-7, volume=2.23800901, quoteVolume=11117275.195912, weightedAverage=2.0E-7]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=3.6E-7, low=2.1E-7, open=2.2E-7, close=2.7E-7, volume=65.37025746, quoteVolume=228191343.95156, weightedAverage=2.8E-7]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=2.9E-7, low=2.2E-7, open=2.8E-7, close=2.3E-7, volume=15.69555301, quoteVolume=63712101.95211, weightedAverage=2.4E-7]
PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=2.5E-7, low=2.3E-7, open=2.3E-7, close=2.5E-7, volume=0.75917852, quoteVolume=3114419.5887173, weightedAverage=2.4E-7]
PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=2.5E-7, low=2.2E-7, open=2.4E-7, close=2.4E-7, volume=1.6214873, quoteVolume=7167762.5064205, weightedAverage=2.2E-7]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=2.6E-7, low=2.1E-7, open=2.4E-7, close=2.5E-7, volume=1.90061804, quoteVolume=8161140.4534915, weightedAverage=2.3E-7]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=2.7E-7, low=2.2E-7, open=2.5E-7, close=2.4E-7, volume=2.00411372, quoteVolume=8127700.1461741, weightedAverage=2.4E-7]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=2.6E-7, low=2.3E-7, open=2.5E-7, close=2.5E-7, volume=0.91926922, quoteVolume=3716261.260413, weightedAverage=2.4E-7]
