PoloniexChartData [date=2016-07-27 00:00:00 GMT, high=4.2E-7, low=3.5E-7, open=4.1E-7, close=3.7E-7, volume=0.36588823, quoteVolume=976704.42332156, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-07-28 00:00:00 GMT, high=3.8E-7, low=3.7E-7, open=3.7E-7, close=3.8E-7, volume=0.03555023, quoteVolume=96021.86912712, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-07-29 00:00:00 GMT, high=4.0E-7, low=3.4E-7, open=3.9E-7, close=3.6E-7, volume=3.43030275, quoteVolume=9002566.5447049, weightedAverage=3.8E-7]
PoloniexChartData [date=2016-07-30 00:00:00 GMT, high=4.2E-7, low=3.4E-7, open=3.7E-7, close=3.7E-7, volume=2.45780686, quoteVolume=6371891.1786536, weightedAverage=3.8E-7]
PoloniexChartData [date=2016-07-31 00:00:00 GMT, high=3.8E-7, low=3.3E-7, open=3.6E-7, close=3.5E-7, volume=2.06852728, quoteVolume=5849098.4962392, weightedAverage=3.5E-7]
PoloniexChartData [date=2016-08-01 00:00:00 GMT, high=3.8E-7, low=3.3E-7, open=3.5E-7, close=3.4E-7, volume=1.59111478, quoteVolume=4586820.0846086, weightedAverage=3.4E-7]
PoloniexChartData [date=2016-08-02 00:00:00 GMT, high=3.8E-7, low=3.4E-7, open=3.4E-7, close=3.4E-7, volume=0.50074381, quoteVolume=1437310.5759068, weightedAverage=3.4E-7]
PoloniexChartData [date=2016-08-03 00:00:00 GMT, high=3.7E-7, low=2.8E-7, open=3.4E-7, close=3.5E-7, volume=2.49625275, quoteVolume=7786909.5462625, weightedAverage=3.2E-7]
PoloniexChartData [date=2016-08-04 00:00:00 GMT, high=3.7E-7, low=3.2E-7, open=3.5E-7, close=3.7E-7, volume=0.67121584, quoteVolume=1961526.6368318, weightedAverage=3.4E-7]
PoloniexChartData [date=2016-08-05 00:00:00 GMT, high=3.8E-7, low=3.5E-7, open=3.6E-7, close=3.7E-7, volume=0.62244103, quoteVolume=1675989.8751516, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-08-06 00:00:00 GMT, high=3.9E-7, low=3.5E-7, open=3.8E-7, close=3.5E-7, volume=0.29587688, quoteVolume=774501.11914486, weightedAverage=3.8E-7]
PoloniexChartData [date=2016-08-07 00:00:00 GMT, high=5.2E-7, low=3.3E-7, open=3.8E-7, close=3.8E-7, volume=8.18225574, quoteVolume=19092263.41053, weightedAverage=4.2E-7]
PoloniexChartData [date=2016-08-08 00:00:00 GMT, high=5.1E-7, low=3.6E-7, open=3.9E-7, close=4.0E-7, volume=8.46022205, quoteVolume=19440852.727764, weightedAverage=4.3E-7]
