PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=4.6E-7, low=4.4E-7, open=4.6E-7, close=4.5E-7, volume=106.2763216, quoteVolume=236287368.41641, weightedAverage=4.4E-7]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=4.9E-7, low=4.3E-7, open=4.5E-7, close=4.6E-7, volume=189.76909162, quoteVolume=414162446.70413, weightedAverage=4.5E-7]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=4.6E-7, low=4.2E-7, open=4.6E-7, close=4.4E-7, volume=57.06614293, quoteVolume=131535984.3688, weightedAverage=4.3E-7]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=4.4E-7, low=4.2E-7, open=4.2E-7, close=4.4E-7, volume=54.53572534, quoteVolume=127381739.47718, weightedAverage=4.2E-7]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=4.6E-7, low=4.2E-7, open=4.4E-7, close=4.6E-7, volume=43.31503609, quoteVolume=97737198.358294, weightedAverage=4.4E-7]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=4.6E-7, low=4.3E-7, open=4.4E-7, close=4.5E-7, volume=38.77129074, quoteVolume=88131431.35567, weightedAverage=4.3E-7]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=4.7E-7, low=4.4E-7, open=4.5E-7, close=4.6E-7, volume=109.39013176, quoteVolume=241002576.35798, weightedAverage=4.5E-7]
PoloniexChartData [date=Tue Jun 28 20:00:00 EDT 2016, high=4.8E-7, low=4.5E-7, open=4.6E-7, close=4.7E-7, volume=69.28746705, quoteVolume=149890993.27449, weightedAverage=4.6E-7]
PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=4.7E-7, low=4.5E-7, open=4.6E-7, close=4.6E-7, volume=60.78419411, quoteVolume=132893451.61609, weightedAverage=4.5E-7]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=4.6E-7, low=4.3E-7, open=4.6E-7, close=4.5E-7, volume=99.55565814, quoteVolume=223166994.72801, weightedAverage=4.4E-7]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=4.5E-7, low=4.3E-7, open=4.5E-7, close=4.3E-7, volume=30.46586745, quoteVolume=69446037.013371, weightedAverage=4.3E-7]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.4E-7, close=4.2E-7, volume=82.34067309, quoteVolume=194874527.06557, weightedAverage=4.2E-7]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=4.3E-7, low=4.2E-7, open=4.3E-7, close=4.3E-7, volume=24.72108572, quoteVolume=58372988.674497, weightedAverage=4.2E-7]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.3E-7, close=4.3E-7, volume=50.60409819, quoteVolume=118673176.82047, weightedAverage=4.2E-7]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=4.3E-7, low=4.0E-7, open=4.2E-7, close=4.1E-7, volume=91.22795595, quoteVolume=220266995.96154, weightedAverage=4.1E-7]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.2E-7, close=4.3E-7, volume=55.81826142, quoteVolume=130971650.33994, weightedAverage=4.2E-7]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=4.4E-7, low=3.9E-7, open=4.3E-7, close=4.2E-7, volume=113.15566469, quoteVolume=275902275.50609, weightedAverage=4.1E-7]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=4.3E-7, low=4.1E-7, open=4.2E-7, close=4.2E-7, volume=36.95515785, quoteVolume=88364700.294616, weightedAverage=4.1E-7]
PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=4.2E-7, low=4.1E-7, open=4.2E-7, close=4.1E-7, volume=23.35158169, quoteVolume=56052383.316921, weightedAverage=4.1E-7]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=4.2E-7, low=4.1E-7, open=4.2E-7, close=4.2E-7, volume=20.56174449, quoteVolume=49851792.573368, weightedAverage=4.1E-7]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=4.2E-7, low=3.9E-7, open=4.2E-7, close=4.0E-7, volume=139.28392013, quoteVolume=344659079.77296, weightedAverage=4.0E-7]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=4.0E-7, close=4.0E-7, volume=40.19851727, quoteVolume=101626223.27997, weightedAverage=3.9E-7]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=4.0E-7, close=3.9E-7, volume=55.71223682, quoteVolume=139529315.45561, weightedAverage=3.9E-7]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=3.9E-7, close=4.0E-7, volume=57.21087729, quoteVolume=144429372.39497, weightedAverage=3.9E-7]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=4.0E-7, low=3.9E-7, open=3.9E-7, close=4.0E-7, volume=27.35764341, quoteVolume=69213549.979649, weightedAverage=3.9E-7]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=4.0E-7, close=3.9E-7, volume=52.14922277, quoteVolume=133842230.29096, weightedAverage=3.8E-7]
