PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=0.00000118, low=0.00000102, open=0.00000112, close=0.0000011, volume=5.60432535, quoteVolume=5164652.6886222, weightedAverage=0.00000108]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=0.00000115, low=9.9E-7, open=0.0000011, close=0.00000102, volume=5.70806312, quoteVolume=5309836.5431242, weightedAverage=0.00000107]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=0.00000115, low=9.7E-7, open=0.00000104, close=0.00000103, volume=10.01614205, quoteVolume=9522486.7935011, weightedAverage=0.00000105]
PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=0.0000016, low=9.1E-7, open=0.00000106, close=9.9E-7, volume=42.98156157, quoteVolume=35907661.196486, weightedAverage=0.00000119]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=0.00000111, low=9.9E-7, open=0.00000108, close=0.00000107, volume=10.91577779, quoteVolume=10518103.203442, weightedAverage=0.00000103]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=0.00000112, low=0.0000010, open=0.00000106, close=0.00000101, volume=7.04809105, quoteVolume=6744850.2513706, weightedAverage=0.00000104]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=0.00000109, low=9.6E-7, open=0.00000101, close=0.00000105, volume=4.13113285, quoteVolume=4062143.853091, weightedAverage=0.00000101]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=0.00000106, low=8.5E-7, open=0.00000104, close=9.3E-7, volume=32.2254142, quoteVolume=35140518.050228, weightedAverage=9.1E-7]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=0.0000010, low=8.8E-7, open=9.2E-7, close=9.1E-7, volume=10.41444816, quoteVolume=11344871.824047, weightedAverage=9.1E-7]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=9.9E-7, low=8.7E-7, open=9.2E-7, close=8.9E-7, volume=15.26159148, quoteVolume=16679348.188997, weightedAverage=9.1E-7]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=9.7E-7, low=8.6E-7, open=8.9E-7, close=8.8E-7, volume=23.82386126, quoteVolume=26088127.824932, weightedAverage=9.1E-7]
PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=9.3E-7, low=8.2E-7, open=8.9E-7, close=8.3E-7, volume=13.24574787, quoteVolume=15337621.688474, weightedAverage=8.6E-7]
