PoloniexChartData [date=2015-06-01 00:00:00 GMT, high=3.3E-7, low=2.6E-7, open=2.7E-7, close=3.0E-7, volume=0.03809912, quoteVolume=129434.86194293, weightedAverage=2.9E-7]
PoloniexChartData [date=2015-06-02 00:00:00 GMT, high=2.8E-7, low=2.8E-7, open=2.8E-7, close=2.8E-7, volume=0.00135428, quoteVolume=4836.72217264, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-06-03 00:00:00 GMT, high=3.0E-7, low=2.8E-7, open=2.8E-7, close=3.0E-7, volume=0.00423369, quoteVolume=14763.18269687, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-06-04 00:00:00 GMT, high=2.8E-7, low=2.8E-7, open=2.8E-7, close=2.8E-7, volume=0.00940633, quoteVolume=33594.04783004, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-06-05 00:00:00 GMT, high=3.4E-7, low=2.7E-7, open=2.8E-7, close=2.9E-7, volume=0.09178183, quoteVolume=289074.33405737, weightedAverage=3.1E-7]
PoloniexChartData [date=2015-06-06 00:00:00 GMT, high=4.0E-7, low=3.1E-7, open=3.4E-7, close=3.1E-7, volume=0.37384708, quoteVolume=979401.4808158, weightedAverage=3.8E-7]
PoloniexChartData [date=2015-06-07 00:00:00 GMT, high=3.7E-7, low=3.3E-7, open=3.7E-7, close=3.3E-7, volume=0.00544097, quoteVolume=16387.08939516, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-06-08 00:00:00 GMT, high=3.8E-7, low=3.0E-7, open=3.3E-7, close=3.4E-7, volume=0.07740236, quoteVolume=244077.23530154, weightedAverage=3.1E-7]
PoloniexChartData [date=2015-06-09 00:00:00 GMT, high=3.6E-7, low=3.3E-7, open=3.5E-7, close=3.6E-7, volume=0.04815994, quoteVolume=139418.88924478, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-06-10 00:00:00 GMT, high=4.0E-7, low=3.4E-7, open=3.6E-7, close=3.4E-7, volume=0.20089295, quoteVolume=540278.05160919, weightedAverage=3.7E-7]
PoloniexChartData [date=2015-06-11 00:00:00 GMT, high=3.6E-7, low=3.3E-7, open=3.6E-7, close=3.4E-7, volume=0.10545192, quoteVolume=316676.41534764, weightedAverage=3.3E-7]
PoloniexChartData [date=2015-06-12 00:00:00 GMT, high=3.5E-7, low=3.3E-7, open=3.5E-7, close=3.3E-7, volume=0.00792512, quoteVolume=22737.08174555, weightedAverage=3.4E-7]
PoloniexChartData [date=2015-06-13 00:00:00 GMT, high=3.5E-7, low=2.9E-7, open=3.3E-7, close=3.3E-7, volume=0.05138989, quoteVolume=167223.87689989, weightedAverage=3.0E-7]
