PoloniexChartData [date=2016-06-26 00:00:00 GMT, high=0.00000133, low=9.4E-7, open=0.00000117, close=0.00000127, volume=23.41464289, quoteVolume=20527216.264114, weightedAverage=0.00000114]
PoloniexChartData [date=2016-06-27 00:00:00 GMT, high=0.00000127, low=0.00000105, open=0.00000121, close=0.00000107, volume=7.33974108, quoteVolume=6619703.5868, weightedAverage=0.0000011]
PoloniexChartData [date=2016-06-28 00:00:00 GMT, high=0.00000125, low=0.00000102, open=0.00000111, close=0.00000116, volume=39.13306706, quoteVolume=34658038.989541, weightedAverage=0.00000112]
PoloniexChartData [date=2016-06-29 00:00:00 GMT, high=0.00000127, low=0.0000011, open=0.00000116, close=0.00000121, volume=5.28821478, quoteVolume=4501065.0728209, weightedAverage=0.00000117]
PoloniexChartData [date=2016-06-30 00:00:00 GMT, high=0.00000139, low=0.00000114, open=0.00000122, close=0.00000123, volume=3.35412515, quoteVolume=2692168.9529806, weightedAverage=0.00000124]
PoloniexChartData [date=2016-07-01 00:00:00 GMT, high=0.00000139, low=0.0000012, open=0.00000123, close=0.0000012, volume=2.2864962, quoteVolume=1790894.5374466, weightedAverage=0.00000127]
PoloniexChartData [date=2016-07-02 00:00:00 GMT, high=0.00000137, low=0.00000119, open=0.00000127, close=0.00000121, volume=1.70650291, quoteVolume=1371533.639289, weightedAverage=0.00000124]
PoloniexChartData [date=2016-07-03 00:00:00 GMT, high=0.00000138, low=0.00000123, open=0.00000124, close=0.0000013, volume=1.47670073, quoteVolume=1130650.1179109, weightedAverage=0.0000013]
PoloniexChartData [date=2016-07-04 00:00:00 GMT, high=0.00000139, low=0.00000124, open=0.00000128, close=0.00000136, volume=2.75678255, quoteVolume=2057671.3034892, weightedAverage=0.00000133]
PoloniexChartData [date=2016-07-05 00:00:00 GMT, high=0.0000017, low=0.00000125, open=0.00000136, close=0.00000158, volume=8.38187529, quoteVolume=5774009.3613824, weightedAverage=0.00000145]
PoloniexChartData [date=2016-07-06 00:00:00 GMT, high=0.00000182, low=0.00000135, open=0.00000152, close=0.00000137, volume=7.7959765, quoteVolume=4866183.5890871, weightedAverage=0.0000016]
PoloniexChartData [date=2016-07-07 00:00:00 GMT, high=0.00000146, low=0.00000126, open=0.00000142, close=0.00000132, volume=2.82331344, quoteVolume=2116979.2715802, weightedAverage=0.00000133]
PoloniexChartData [date=2016-07-08 00:00:00 GMT, high=0.00000136, low=0.00000128, open=0.00000132, close=0.00000134, volume=0.53075468, quoteVolume=405359.32834835, weightedAverage=0.0000013]
PoloniexChartData [date=2016-07-09 00:00:00 GMT, high=0.00000136, low=0.00000128, open=0.00000134, close=0.00000132, volume=2.46753111, quoteVolume=1853574.1038797, weightedAverage=0.00000133]
PoloniexChartData [date=2016-07-10 00:00:00 GMT, high=0.00000145, low=0.00000129, open=0.00000132, close=0.00000141, volume=2.33772724, quoteVolume=1708014.3923288, weightedAverage=0.00000136]
PoloniexChartData [date=2016-07-11 00:00:00 GMT, high=0.00000154, low=0.00000134, open=0.00000141, close=0.0000014, volume=1.27193841, quoteVolume=885577.36159984, weightedAverage=0.00000143]
PoloniexChartData [date=2016-07-12 00:00:00 GMT, high=0.00000165, low=0.0000014, open=0.0000014, close=0.00000149, volume=1.01312396, quoteVolume=674247.63263448, weightedAverage=0.0000015]
PoloniexChartData [date=2016-07-13 00:00:00 GMT, high=0.00000163, low=0.00000139, open=0.00000153, close=0.00000139, volume=1.78506626, quoteVolume=1155419.9961644, weightedAverage=0.00000154]
PoloniexChartData [date=2016-07-14 00:00:00 GMT, high=0.00000154, low=0.00000138, open=0.00000143, close=0.00000143, volume=1.51529391, quoteVolume=1037402.7105325, weightedAverage=0.00000146]
PoloniexChartData [date=2016-07-15 00:00:00 GMT, high=0.00000153, low=0.00000141, open=0.00000142, close=0.00000153, volume=0.32140759, quoteVolume=217353.90705382, weightedAverage=0.00000147]
PoloniexChartData [date=2016-07-16 00:00:00 GMT, high=0.00000165, low=0.0000013, open=0.00000148, close=0.00000157, volume=3.49747676, quoteVolume=2323428.8775306, weightedAverage=0.0000015]
PoloniexChartData [date=2016-07-17 00:00:00 GMT, high=0.00000166, low=0.00000147, open=0.00000157, close=0.0000015, volume=1.37460811, quoteVolume=875591.66631105, weightedAverage=0.00000156]
PoloniexChartData [date=2016-07-18 00:00:00 GMT, high=0.00000166, low=0.0000015, open=0.0000015, close=0.00000158, volume=0.92766779, quoteVolume=597953.53069277, weightedAverage=0.00000155]
PoloniexChartData [date=2016-07-19 00:00:00 GMT, high=0.00000172, low=0.00000157, open=0.00000158, close=0.00000157, volume=1.85661475, quoteVolume=1137947.4734124, weightedAverage=0.00000163]
PoloniexChartData [date=2016-07-20 00:00:00 GMT, high=0.00000175, low=0.00000165, open=0.00000165, close=0.00000169, volume=3.93771048, quoteVolume=2314638.7230851, weightedAverage=0.0000017]
PoloniexChartData [date=2016-07-21 00:00:00 GMT, high=0.00000182, low=0.00000147, open=0.00000169, close=0.00000181, volume=7.59870441, quoteVolume=4501152.5941269, weightedAverage=0.00000168]
PoloniexChartData [date=2016-07-22 00:00:00 GMT, high=0.00000186, low=0.0000017, open=0.00000181, close=0.00000177, volume=3.39506192, quoteVolume=1893417.575843, weightedAverage=0.00000179]
PoloniexChartData [date=2016-07-23 00:00:00 GMT, high=0.00000183, low=0.00000161, open=0.00000175, close=0.00000161, volume=1.85773096, quoteVolume=1092160.381962, weightedAverage=0.0000017]
PoloniexChartData [date=2016-07-24 00:00:00 GMT, high=0.0000017, low=0.00000139, open=0.00000164, close=0.00000148, volume=1.27604862, quoteVolume=859135.31435772, weightedAverage=0.00000148]
PoloniexChartData [date=2016-07-25 00:00:00 GMT, high=0.00000149, low=0.00000142, open=0.00000149, close=0.00000145, volume=1.38381742, quoteVolume=931789.31010334, weightedAverage=0.00000148]
PoloniexChartData [date=2016-07-26 00:00:00 GMT, high=0.00000157, low=0.0000012, open=0.00000145, close=0.00000126, volume=5.19464359, quoteVolume=3992206.7091184, weightedAverage=0.0000013]
PoloniexChartData [date=2016-07-27 00:00:00 GMT, high=0.00000146, low=0.0000012, open=0.00000126, close=0.00000137, volume=0.51179156, quoteVolume=382990.41967983, weightedAverage=0.00000133]
PoloniexChartData [date=2016-07-28 00:00:00 GMT, high=0.00000139, low=0.00000133, open=0.00000139, close=0.00000133, volume=0.00947017, quoteVolume=6965.16395037, weightedAverage=0.00000135]
PoloniexChartData [date=2016-07-29 00:00:00 GMT, high=0.00000159, low=0.00000136, open=0.00000143, close=0.00000159, volume=0.39126968, quoteVolume=264533.39567074, weightedAverage=0.00000147]
