PoloniexChartData [date=2016-06-09 00:00:00 GMT, high=5.9E-7, low=5.4E-7, open=5.8E-7, close=5.6E-7, volume=64.96626592, quoteVolume=115533326.1045, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-06-10 00:00:00 GMT, high=6.3E-7, low=5.4E-7, open=5.5E-7, close=6.1E-7, volume=86.26685624, quoteVolume=147742545.59993, weightedAverage=5.8E-7]
PoloniexChartData [date=2016-06-11 00:00:00 GMT, high=6.2E-7, low=5.6E-7, open=6.1E-7, close=5.6E-7, volume=26.73634792, quoteVolume=46109360.90993, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-06-12 00:00:00 GMT, high=5.6E-7, low=4.7E-7, open=5.6E-7, close=4.9E-7, volume=106.31237138, quoteVolume=210105424.78125, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-06-13 00:00:00 GMT, high=5.9E-7, low=4.8E-7, open=4.9E-7, close=5.0E-7, volume=122.90305565, quoteVolume=235858609.1591, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-06-14 00:00:00 GMT, high=5.4E-7, low=4.8E-7, open=5.0E-7, close=5.1E-7, volume=89.55214764, quoteVolume=174233526.08108, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-06-15 00:00:00 GMT, high=5.3E-7, low=5.0E-7, open=5.1E-7, close=5.1E-7, volume=33.56929792, quoteVolume=65208479.754306, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-06-16 00:00:00 GMT, high=5.2E-7, low=4.7E-7, open=5.1E-7, close=4.9E-7, volume=60.02880005, quoteVolume=122903606.44547, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-06-17 00:00:00 GMT, high=5.0E-7, low=4.0E-7, open=4.7E-7, close=4.4E-7, volume=93.55674653, quoteVolume=207921484.82195, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-06-18 00:00:00 GMT, high=4.9E-7, low=4.2E-7, open=4.4E-7, close=4.6E-7, volume=59.35195827, quoteVolume=132621433.46001, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-06-19 00:00:00 GMT, high=5.4E-7, low=4.3E-7, open=4.5E-7, close=4.9E-7, volume=119.81153713, quoteVolume=246699563.14264, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-06-20 00:00:00 GMT, high=5.2E-7, low=4.5E-7, open=4.9E-7, close=4.9E-7, volume=50.00625897, quoteVolume=103850298.08448, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-06-21 00:00:00 GMT, high=5.5E-7, low=4.9E-7, open=4.9E-7, close=5.3E-7, volume=81.75514319, quoteVolume=157096806.97047, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-06-22 00:00:00 GMT, high=5.8E-7, low=4.7E-7, open=5.3E-7, close=5.6E-7, volume=228.04221684, quoteVolume=428385839.36996, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-06-23 00:00:00 GMT, high=6.0E-7, low=5.2E-7, open=5.6E-7, close=5.4E-7, volume=81.43189896, quoteVolume=145837799.44811, weightedAverage=5.5E-7]
PoloniexChartData [date=2016-06-24 00:00:00 GMT, high=5.4E-7, low=4.9E-7, open=5.3E-7, close=5.1E-7, volume=50.76453193, quoteVolume=99111596.490318, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-06-25 00:00:00 GMT, high=5.3E-7, low=4.9E-7, open=5.1E-7, close=5.0E-7, volume=30.66865792, quoteVolume=60451643.710297, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-06-26 00:00:00 GMT, high=5.4E-7, low=4.9E-7, open=5.1E-7, close=5.3E-7, volume=47.10308911, quoteVolume=90985889.647926, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-06-27 00:00:00 GMT, high=5.6E-7, low=5.1E-7, open=5.3E-7, close=5.3E-7, volume=43.78291969, quoteVolume=81553666.278201, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-06-28 00:00:00 GMT, high=5.6E-7, low=5.1E-7, open=5.3E-7, close=5.3E-7, volume=58.22351402, quoteVolume=108098319.86606, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-06-29 00:00:00 GMT, high=7.4E-7, low=5.3E-7, open=5.4E-7, close=6.1E-7, volume=341.99836943, quoteVolume=538234133.92853, weightedAverage=6.3E-7]
PoloniexChartData [date=2016-06-30 00:00:00 GMT, high=6.7E-7, low=5.2E-7, open=6.2E-7, close=5.4E-7, volume=268.96392386, quoteVolume=469802010.53917, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-07-01 00:00:00 GMT, high=5.5E-7, low=4.9E-7, open=5.4E-7, close=5.1E-7, volume=97.54322755, quoteVolume=189555690.7819, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-07-02 00:00:00 GMT, high=5.1E-7, low=4.9E-7, open=5.0E-7, close=5.1E-7, volume=47.04392766, quoteVolume=94187912.068715, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-07-03 00:00:00 GMT, high=5.4E-7, low=4.9E-7, open=5.0E-7, close=5.3E-7, volume=29.1290419, quoteVolume=55677796.791204, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-07-04 00:00:00 GMT, high=5.3E-7, low=5.1E-7, open=5.3E-7, close=5.3E-7, volume=13.66869413, quoteVolume=26211330.999981, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-07-05 00:00:00 GMT, high=5.4E-7, low=4.9E-7, open=5.2E-7, close=5.2E-7, volume=59.65552862, quoteVolume=116205039.74501, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-07-06 00:00:00 GMT, high=5.5E-7, low=5.0E-7, open=5.2E-7, close=5.4E-7, volume=62.00290465, quoteVolume=117682218.31527, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-07-07 00:00:00 GMT, high=5.9E-7, low=5.2E-7, open=5.2E-7, close=5.4E-7, volume=88.08609216, quoteVolume=155244429.60153, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-07-08 00:00:00 GMT, high=5.8E-7, low=5.4E-7, open=5.4E-7, close=5.5E-7, volume=17.68499857, quoteVolume=31919340.771812, weightedAverage=5.5E-7]
PoloniexChartData [date=2016-07-09 00:00:00 GMT, high=5.7E-7, low=5.3E-7, open=5.5E-7, close=5.4E-7, volume=26.41527031, quoteVolume=48133860.74384, weightedAverage=5.4E-7]
PoloniexChartData [date=2016-07-10 00:00:00 GMT, high=5.6E-7, low=5.3E-7, open=5.4E-7, close=5.3E-7, volume=26.63414199, quoteVolume=49373346.090226, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-07-11 00:00:00 GMT, high=5.5E-7, low=5.2E-7, open=5.3E-7, close=5.5E-7, volume=20.46742133, quoteVolume=38310919.403095, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-07-12 00:00:00 GMT, high=5.6E-7, low=5.2E-7, open=5.4E-7, close=5.4E-7, volume=46.36093172, quoteVolume=85437594.903827, weightedAverage=5.4E-7]
PoloniexChartData [date=2016-07-13 00:00:00 GMT, high=5.6E-7, low=5.2E-7, open=5.5E-7, close=5.5E-7, volume=41.65173787, quoteVolume=77364916.332599, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-07-14 00:00:00 GMT, high=6.0E-7, low=5.3E-7, open=5.4E-7, close=5.8E-7, volume=86.58160585, quoteVolume=153523202.00398, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-07-15 00:00:00 GMT, high=6.2E-7, low=5.5E-7, open=5.7E-7, close=6.0E-7, volume=61.87719698, quoteVolume=105110845.18238, weightedAverage=5.8E-7]
PoloniexChartData [date=2016-07-16 00:00:00 GMT, high=6.2E-7, low=5.7E-7, open=6.0E-7, close=5.9E-7, volume=22.16530032, quoteVolume=37609855.665291, weightedAverage=5.8E-7]
PoloniexChartData [date=2016-07-17 00:00:00 GMT, high=6.1E-7, low=5.6E-7, open=5.8E-7, close=5.7E-7, volume=40.33628151, quoteVolume=69769742.795679, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-07-18 00:00:00 GMT, high=5.8E-7, low=5.5E-7, open=5.7E-7, close=5.7E-7, volume=29.10634904, quoteVolume=52130197.236487, weightedAverage=5.5E-7]
PoloniexChartData [date=2016-07-19 00:00:00 GMT, high=5.8E-7, low=5.4E-7, open=5.6E-7, close=5.6E-7, volume=21.59575573, quoteVolume=38548353.908366, weightedAverage=5.6E-7]
PoloniexChartData [date=2016-07-20 00:00:00 GMT, high=5.9E-7, low=5.6E-7, open=5.6E-7, close=5.7E-7, volume=35.36163628, quoteVolume=61532574.091166, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-07-21 00:00:00 GMT, high=6.3E-7, low=5.6E-7, open=5.7E-7, close=6.2E-7, volume=70.77017998, quoteVolume=117654720.92428, weightedAverage=6.0E-7]
PoloniexChartData [date=2016-07-22 00:00:00 GMT, high=6.6E-7, low=5.9E-7, open=6.2E-7, close=6.5E-7, volume=74.81569284, quoteVolume=117453763.20628, weightedAverage=6.3E-7]
PoloniexChartData [date=2016-07-23 00:00:00 GMT, high=6.7E-7, low=6.2E-7, open=6.6E-7, close=6.3E-7, volume=49.40457693, quoteVolume=76585466.004517, weightedAverage=6.4E-7]
PoloniexChartData [date=2016-07-24 00:00:00 GMT, high=6.4E-7, low=5.7E-7, open=6.3E-7, close=5.8E-7, volume=73.97381484, quoteVolume=124898158.75181, weightedAverage=5.9E-7]
PoloniexChartData [date=2016-07-25 00:00:00 GMT, high=6.4E-7, low=5.7E-7, open=5.7E-7, close=6.2E-7, volume=48.0552265, quoteVolume=79097750.665892, weightedAverage=6.0E-7]
PoloniexChartData [date=2016-07-26 00:00:00 GMT, high=6.4E-7, low=5.2E-7, open=6.2E-7, close=6.0E-7, volume=172.31825503, quoteVolume=301157457.95433, weightedAverage=5.7E-7]
