PoloniexChartData [date=2016-06-04 00:00:00 GMT, high=1.5E-7, low=1.2E-7, open=1.5E-7, close=1.3E-7, volume=0.69639422, quoteVolume=5075034.7734539, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-05 00:00:00 GMT, high=1.4E-7, low=1.3E-7, open=1.3E-7, close=1.3E-7, volume=0.14628356, quoteVolume=1076999.4445952, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-06 00:00:00 GMT, high=1.4E-7, low=1.3E-7, open=1.3E-7, close=1.3E-7, volume=0.38016552, quoteVolume=2738654.4572532, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-07 00:00:00 GMT, high=1.9E-7, low=1.3E-7, open=1.3E-7, close=1.6E-7, volume=1.31991332, quoteVolume=7852005.4286922, weightedAverage=1.6E-7]
PoloniexChartData [date=2016-06-08 00:00:00 GMT, high=1.7E-7, low=1.5E-7, open=1.7E-7, close=1.5E-7, volume=0.04328679, quoteVolume=284942.00427458, weightedAverage=1.5E-7]
PoloniexChartData [date=2016-06-09 00:00:00 GMT, high=1.6E-7, low=1.5E-7, open=1.5E-7, close=1.5E-7, volume=0.09538282, quoteVolume=626540.93858332, weightedAverage=1.5E-7]
PoloniexChartData [date=2016-06-10 00:00:00 GMT, high=1.6E-7, low=1.5E-7, open=1.6E-7, close=1.5E-7, volume=0.09689288, quoteVolume=634783.91821243, weightedAverage=1.5E-7]
PoloniexChartData [date=2016-06-11 00:00:00 GMT, high=1.6E-7, low=1.4E-7, open=1.5E-7, close=1.4E-7, volume=0.27153603, quoteVolume=1809016.9687515, weightedAverage=1.5E-7]
PoloniexChartData [date=2016-06-12 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.4E-7, close=1.3E-7, volume=0.40944327, quoteVolume=3201867.8989145, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-13 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.4E-7, volume=0.24602459, quoteVolume=1943092.1928912, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-14 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.3E-7, close=1.2E-7, volume=0.43992876, quoteVolume=3888373.7849408, weightedAverage=1.1E-7]
PoloniexChartData [date=2016-06-15 00:00:00 GMT, high=1.5E-7, low=1.2E-7, open=1.2E-7, close=1.4E-7, volume=0.11051497, quoteVolume=806123.00502046, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-16 00:00:00 GMT, high=1.4E-7, low=1.1E-7, open=1.4E-7, close=1.3E-7, volume=0.18052239, quoteVolume=1417784.2361376, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-17 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=0.50474635, quoteVolume=4566040.2648211, weightedAverage=1.1E-7]
PoloniexChartData [date=2016-06-18 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=0.0719721, quoteVolume=579762.9909121, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-19 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.3E-7, volume=0.6437986, quoteVolume=4975302.2923321, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-20 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=0.15276656, quoteVolume=1122725.2580051, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-21 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=0.16737508, quoteVolume=1318650.9861761, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-22 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=0.19635277, quoteVolume=1598245.3036724, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-23 00:00:00 GMT, high=1.7E-7, low=1.1E-7, open=1.3E-7, close=1.3E-7, volume=3.28280652, quoteVolume=22030071.870081, weightedAverage=1.4E-7]
PoloniexChartData [date=2016-06-24 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.3E-7, close=1.1E-7, volume=0.42495821, quoteVolume=3658240.3756343, weightedAverage=1.1E-7]
PoloniexChartData [date=2016-06-25 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.3E-7, close=1.0E-7, volume=0.20271455, quoteVolume=1891564.9021585, weightedAverage=1.0E-7]
PoloniexChartData [date=2016-06-26 00:00:00 GMT, high=1.4E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=0.84069078, quoteVolume=6560414.3349853, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-27 00:00:00 GMT, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=0.21282755, quoteVolume=1611895.447745, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-28 00:00:00 GMT, high=1.4E-7, low=1.1E-7, open=1.3E-7, close=1.4E-7, volume=0.2114343, quoteVolume=1711960.329043, weightedAverage=1.2E-7]
PoloniexChartData [date=2016-06-29 00:00:00 GMT, high=1.5E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=1.02956768, quoteVolume=7623196.2988627, weightedAverage=1.3E-7]
PoloniexChartData [date=2016-06-30 00:00:00 GMT, high=1.7E-7, low=1.3E-7, open=1.3E-7, close=1.6E-7, volume=10.12892343, quoteVolume=66438507.821711, weightedAverage=1.5E-7]
PoloniexChartData [date=2016-07-01 00:00:00 GMT, high=4.7E-7, low=1.3E-7, open=1.4E-7, close=2.7E-7, volume=101.53307497, quoteVolume=301382826.29569, weightedAverage=3.3E-7]
PoloniexChartData [date=2016-07-02 00:00:00 GMT, high=3.3E-7, low=2.1E-7, open=2.6E-7, close=2.6E-7, volume=17.99890749, quoteVolume=67165986.98245, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-07-03 00:00:00 GMT, high=2.8E-7, low=1.8E-7, open=2.6E-7, close=2.5E-7, volume=12.66059881, quoteVolume=56179923.975646, weightedAverage=2.2E-7]
PoloniexChartData [date=2016-07-04 00:00:00 GMT, high=8.0E-7, low=2.1E-7, open=2.5E-7, close=6.1E-7, volume=319.29528829, quoteVolume=545053369.98706, weightedAverage=5.8E-7]
PoloniexChartData [date=2016-07-05 00:00:00 GMT, high=0.0000018, low=4.7E-7, open=6.1E-7, close=7.6E-7, volume=1444.83607157, quoteVolume=1405118843.6769, weightedAverage=0.00000102]
PoloniexChartData [date=2016-07-06 00:00:00 GMT, high=9.0E-7, low=5.4E-7, open=7.5E-7, close=6.2E-7, volume=198.73236208, quoteVolume=279181310.44932, weightedAverage=7.1E-7]
PoloniexChartData [date=2016-07-07 00:00:00 GMT, high=6.8E-7, low=4.0E-7, open=6.2E-7, close=4.4E-7, volume=98.29214305, quoteVolume=200497563.62316, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-07-08 00:00:00 GMT, high=5.3E-7, low=3.9E-7, open=4.4E-7, close=4.0E-7, volume=36.7798317, quoteVolume=83077404.532604, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-07-09 00:00:00 GMT, high=4.4E-7, low=3.8E-7, open=4.0E-7, close=4.0E-7, volume=11.27106597, quoteVolume=28294609.911233, weightedAverage=3.9E-7]
PoloniexChartData [date=2016-07-10 00:00:00 GMT, high=4.5E-7, low=3.6E-7, open=3.9E-7, close=4.0E-7, volume=14.40319332, quoteVolume=35819532.337991, weightedAverage=4.0E-7]
PoloniexChartData [date=2016-07-11 00:00:00 GMT, high=4.1E-7, low=3.4E-7, open=3.8E-7, close=3.4E-7, volume=10.40547544, quoteVolume=27593862.306296, weightedAverage=3.7E-7]
PoloniexChartData [date=2016-07-12 00:00:00 GMT, high=4.0E-7, low=3.1E-7, open=3.4E-7, close=3.4E-7, volume=9.60848372, quoteVolume=26969413.571178, weightedAverage=3.5E-7]
PoloniexChartData [date=2016-07-13 00:00:00 GMT, high=3.9E-7, low=3.4E-7, open=3.4E-7, close=3.5E-7, volume=5.10910265, quoteVolume=14121801.969207, weightedAverage=3.6E-7]
PoloniexChartData [date=2016-07-14 00:00:00 GMT, high=4.5E-7, low=3.3E-7, open=3.5E-7, close=3.9E-7, volume=16.05820717, quoteVolume=41466911.589499, weightedAverage=3.8E-7]
