PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=9.96486434, quoteVolume=94623603.856252, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=6.4549271, quoteVolume=60920402.936086, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.0E-7, volume=8.18653788, quoteVolume=79788311.518778, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=9.13222619, quoteVolume=88928845.413869, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=8.91174587, quoteVolume=85127652.847008, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=6.44362703, quoteVolume=60963644.057505, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=24.91509212, quoteVolume=224002375.41667, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.2E-7, close=1.1E-7, volume=6.34737393, quoteVolume=59272590.825481, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=6.69264016, quoteVolume=64086791.402303, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.0E-7, close=1.2E-7, volume=10.36441309, quoteVolume=95595563.296111, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=5.39744183, quoteVolume=46893962.40029, weightedAverage=1.1E-7]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.2E-7, volume=4.13444307, quoteVolume=35376059.978014, weightedAverage=1.1E-7]
PoloniexChartData [date=Fri Jul 22 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.3E-7, volume=12.8108052, quoteVolume=110859881.27064, weightedAverage=1.1E-7]
PoloniexChartData [date=Sat Jul 23 20:00:00 EDT 2016, high=1.4E-7, low=1.0E-7, open=1.3E-7, close=1.1E-7, volume=40.16548059, quoteVolume=344970852.97412, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Jul 24 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=6.87414258, quoteVolume=65400505.119817, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Jul 25 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.1E-7, close=1.0E-7, volume=41.66489426, quoteVolume=429774923.20478, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Jul 26 20:00:00 EDT 2016, high=1.1E-7, low=8.0E-8, open=1.1E-7, close=1.0E-7, volume=36.54996506, quoteVolume=387853969.19369, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Jul 27 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=0.43151332, quoteVolume=4509844.2311667, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Jul 28 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=11.91829139, quoteVolume=120872518.03253, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Jul 29 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=2.4544007, quoteVolume=24637959.649309, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=2.3022053, quoteVolume=23417105.745989, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=4.67394625, quoteVolume=49871352.747746, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=1.0E-7, low=7.0E-8, open=9.0E-8, close=8.0E-8, volume=41.32658091, quoteVolume=476048325.15602, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=13.66725419, quoteVolume=157924337.30658, weightedAverage=8.0E-8]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=6.11528277, quoteVolume=72586598.180767, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=1.1E-7, low=8.0E-8, open=9.0E-8, close=1.1E-7, volume=36.94590775, quoteVolume=363755552.2979, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=1.4E-7, low=1.0E-7, open=1.0E-7, close=1.2E-7, volume=138.38465319, quoteVolume=1174300362.4462, weightedAverage=1.1E-7]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=1.3E-7, low=1.0E-7, open=1.2E-7, close=1.0E-7, volume=58.43996291, quoteVolume=530413538.76986, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=1.5E-7, low=1.0E-7, open=1.0E-7, close=1.2E-7, volume=130.97285848, quoteVolume=1007256032.6254, weightedAverage=1.3E-7]
PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=25.24328166, quoteVolume=210418050.26286, weightedAverage=1.1E-7]
PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=1.3E-7, low=1.0E-7, open=1.2E-7, close=1.1E-7, volume=32.10737713, quoteVolume=286957982.11242, weightedAverage=1.1E-7]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=7.86773712, quoteVolume=76557387.729099, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=9.65526785, quoteVolume=90830759.19131, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=11.64753378, quoteVolume=105909236.40337, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=1.53504208, quoteVolume=13305804.006241, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.2E-7, volume=6.71628672, quoteVolume=59398899.142046, weightedAverage=1.1E-7]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=1.4E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=51.08700621, quoteVolume=408972625.94759, weightedAverage=1.2E-7]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.3E-7, close=1.1E-7, volume=10.29044699, quoteVolume=85556103.714192, weightedAverage=1.2E-7]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=1.4E-7, low=1.1E-7, open=1.1E-7, close=1.3E-7, volume=16.03514442, quoteVolume=123855117.43157, weightedAverage=1.2E-7]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.4E-7, close=1.2E-7, volume=17.46575518, quoteVolume=140997104.6439, weightedAverage=1.2E-7]
PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.1E-7, volume=34.19996092, quoteVolume=296562322.16713, weightedAverage=1.1E-7]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=3.32939195, quoteVolume=29271108.318445, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.2E-7, close=1.1E-7, volume=15.55802149, quoteVolume=142701713.19117, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=5.84954614, quoteVolume=53903932.263047, weightedAverage=1.0E-7]
PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=6.6824895, quoteVolume=60762360.380183, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.2E-7, volume=6.79399664, quoteVolume=62532732.390659, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=6.67323883, quoteVolume=62848364.793632, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.2E-7, volume=11.99486185, quoteVolume=100730670.93221, weightedAverage=1.1E-7]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.3E-7, volume=12.70741743, quoteVolume=106043162.74168, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.3E-7, close=1.2E-7, volume=10.38604, quoteVolume=86530455.488973, weightedAverage=1.2E-7]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.2E-7, close=1.1E-7, volume=6.33482087, quoteVolume=54231084.548616, weightedAverage=1.1E-7]
PoloniexChartData [date=Tue Aug 30 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.3E-7, volume=17.0137405, quoteVolume=146706021.32332, weightedAverage=1.1E-7]
PoloniexChartData [date=Wed Aug 31 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=4.5761076, quoteVolume=36910415.895903, weightedAverage=1.2E-7]
PoloniexChartData [date=Thu Sep 01 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.1E-7, volume=13.17007362, quoteVolume=112574302.17041, weightedAverage=1.1E-7]
PoloniexChartData [date=Fri Sep 02 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.1E-7, volume=8.74835638, quoteVolume=76535387.665439, weightedAverage=1.1E-7]
