PoloniexChartData [date=2015-06-20 00:00:00 GMT, high=6.5E-7, low=6.1E-7, open=6.1E-7, close=6.1E-7, volume=1.08503268, quoteVolume=1730817.6285431, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-06-21 00:00:00 GMT, high=6.6E-7, low=6.1E-7, open=6.1E-7, close=6.6E-7, volume=0.81011971, quoteVolume=1249461.2616011, weightedAverage=6.4E-7]
PoloniexChartData [date=2015-06-22 00:00:00 GMT, high=6.7E-7, low=6.4E-7, open=6.4E-7, close=6.4E-7, volume=3.15198476, quoteVolume=4800094.0853587, weightedAverage=6.5E-7]
PoloniexChartData [date=2015-06-23 00:00:00 GMT, high=6.7E-7, low=6.2E-7, open=6.7E-7, close=6.2E-7, volume=4.84726324, quoteVolume=7659186.4745448, weightedAverage=6.3E-7]
PoloniexChartData [date=2015-06-24 00:00:00 GMT, high=6.5E-7, low=6.3E-7, open=6.3E-7, close=6.4E-7, volume=0.7729551, quoteVolume=1213447.7171468, weightedAverage=6.3E-7]
PoloniexChartData [date=2015-06-25 00:00:00 GMT, high=6.4E-7, low=6.3E-7, open=6.4E-7, close=6.4E-7, volume=4.09325054, quoteVolume=6444763.5239938, weightedAverage=6.3E-7]
PoloniexChartData [date=2015-06-26 00:00:00 GMT, high=6.6E-7, low=6.0E-7, open=6.3E-7, close=6.0E-7, volume=8.00230257, quoteVolume=12905588.319012, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-06-27 00:00:00 GMT, high=6.5E-7, low=5.8E-7, open=6.1E-7, close=6.2E-7, volume=9.75313245, quoteVolume=15895388.918708, weightedAverage=6.1E-7]
PoloniexChartData [date=2015-06-28 00:00:00 GMT, high=6.4E-7, low=5.9E-7, open=6.3E-7, close=6.1E-7, volume=4.8439836, quoteVolume=7952333.4219816, weightedAverage=6.0E-7]
PoloniexChartData [date=2015-06-29 00:00:00 GMT, high=6.3E-7, low=5.8E-7, open=5.9E-7, close=5.8E-7, volume=3.85693954, quoteVolume=6329542.9771104, weightedAverage=6.0E-7]
PoloniexChartData [date=2015-06-30 00:00:00 GMT, high=6.4E-7, low=5.6E-7, open=6.0E-7, close=6.0E-7, volume=6.56418733, quoteVolume=11152045.156595, weightedAverage=5.8E-7]
PoloniexChartData [date=2015-07-01 00:00:00 GMT, high=6.0E-7, low=5.3E-7, open=5.9E-7, close=5.3E-7, volume=6.06333097, quoteVolume=10830489.974824, weightedAverage=5.5E-7]
PoloniexChartData [date=2015-07-02 00:00:00 GMT, high=5.8E-7, low=5.5E-7, open=5.7E-7, close=5.6E-7, volume=2.18479119, quoteVolume=3915358.8544093, weightedAverage=5.5E-7]
PoloniexChartData [date=2015-07-03 00:00:00 GMT, high=5.9E-7, low=5.2E-7, open=5.8E-7, close=5.5E-7, volume=11.16232256, quoteVolume=20466218.873113, weightedAverage=5.4E-7]
PoloniexChartData [date=2015-07-04 00:00:00 GMT, high=5.8E-7, low=5.0E-7, open=5.4E-7, close=5.4E-7, volume=3.8975175, quoteVolume=7523776.8196896, weightedAverage=5.1E-7]
