PoloniexChartData [date=2015-07-02 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=7.15612351, quoteVolume=55529660.354968, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-07-03 00:00:00 GMT, high=1.3E-7, low=1.2E-7, open=1.3E-7, close=1.2E-7, volume=0.98693001, quoteVolume=7942522.5718466, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-07-04 00:00:00 GMT, high=1.6E-7, low=1.2E-7, open=1.2E-7, close=1.5E-7, volume=10.47060866, quoteVolume=74256428.676282, weightedAverage=1.4E-7]
PoloniexChartData [date=2015-07-05 00:00:00 GMT, high=1.5E-7, low=1.2E-7, open=1.5E-7, close=1.3E-7, volume=7.27686687, quoteVolume=54754928.887663, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-07-06 00:00:00 GMT, high=1.5E-7, low=1.3E-7, open=1.3E-7, close=1.3E-7, volume=4.17356892, quoteVolume=30505306.887061, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-07-07 00:00:00 GMT, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.3E-7, volume=3.83488192, quoteVolume=28099210.441845, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-07-08 00:00:00 GMT, high=1.4E-7, low=1.3E-7, open=1.3E-7, close=1.4E-7, volume=1.54800703, quoteVolume=11547178.787011, weightedAverage=1.3E-7]
PoloniexChartData [date=2015-07-09 00:00:00 GMT, high=1.8E-7, low=1.3E-7, open=1.3E-7, close=1.5E-7, volume=11.76218491, quoteVolume=81219159.316235, weightedAverage=1.4E-7]
PoloniexChartData [date=2015-07-10 00:00:00 GMT, high=1.9E-7, low=1.3E-7, open=1.5E-7, close=1.4E-7, volume=11.64780148, quoteVolume=79528475.848378, weightedAverage=1.4E-7]
PoloniexChartData [date=2015-07-11 00:00:00 GMT, high=1.7E-7, low=1.4E-7, open=1.4E-7, close=1.4E-7, volume=4.38408107, quoteVolume=29107493.984295, weightedAverage=1.5E-7]
PoloniexChartData [date=2015-07-12 00:00:00 GMT, high=1.5E-7, low=1.4E-7, open=1.4E-7, close=1.4E-7, volume=1.17954679, quoteVolume=8284152.760698, weightedAverage=1.4E-7]
PoloniexChartData [date=2015-07-13 00:00:00 GMT, high=2.1E-7, low=1.3E-7, open=1.4E-7, close=2.0E-7, volume=30.281396, quoteVolume=168202064.73998, weightedAverage=1.8E-7]
PoloniexChartData [date=2015-07-14 00:00:00 GMT, high=2.0E-7, low=1.5E-7, open=1.8E-7, close=1.8E-7, volume=5.39364492, quoteVolume=31101351.061682, weightedAverage=1.7E-7]
PoloniexChartData [date=2015-07-15 00:00:00 GMT, high=2.3E-7, low=1.7E-7, open=1.8E-7, close=2.0E-7, volume=16.22080707, quoteVolume=81828998.826189, weightedAverage=1.9E-7]
PoloniexChartData [date=2015-07-16 00:00:00 GMT, high=2.5E-7, low=1.7E-7, open=2.0E-7, close=1.7E-7, volume=8.20145252, quoteVolume=40563144.190831, weightedAverage=2.0E-7]
PoloniexChartData [date=2015-07-17 00:00:00 GMT, high=2.1E-7, low=1.7E-7, open=1.8E-7, close=1.9E-7, volume=5.7637315, quoteVolume=30415041.169958, weightedAverage=1.8E-7]
PoloniexChartData [date=2015-07-18 00:00:00 GMT, high=2.2E-7, low=1.7E-7, open=1.8E-7, close=1.9E-7, volume=7.00443932, quoteVolume=37796586.617147, weightedAverage=1.8E-7]
PoloniexChartData [date=2015-07-19 00:00:00 GMT, high=2.0E-7, low=1.8E-7, open=1.9E-7, close=1.9E-7, volume=7.09493132, quoteVolume=37768491.829436, weightedAverage=1.8E-7]
PoloniexChartData [date=2015-07-20 00:00:00 GMT, high=1.9E-7, low=1.7E-7, open=1.8E-7, close=1.7E-7, volume=5.69410796, quoteVolume=31729418.604754, weightedAverage=1.7E-7]
PoloniexChartData [date=2015-07-21 00:00:00 GMT, high=1.8E-7, low=1.6E-7, open=1.7E-7, close=1.7E-7, volume=2.59792475, quoteVolume=15184929.30429, weightedAverage=1.7E-7]
PoloniexChartData [date=2015-07-22 00:00:00 GMT, high=1.7E-7, low=1.6E-7, open=1.7E-7, close=1.6E-7, volume=6.29245045, quoteVolume=39289154.410138, weightedAverage=1.6E-7]
PoloniexChartData [date=2015-07-23 00:00:00 GMT, high=1.7E-7, low=1.6E-7, open=1.7E-7, close=1.7E-7, volume=2.97825453, quoteVolume=18346957.910505, weightedAverage=1.6E-7]
PoloniexChartData [date=2015-07-24 00:00:00 GMT, high=1.7E-7, low=1.6E-7, open=1.7E-7, close=1.7E-7, volume=1.32057444, quoteVolume=8167592.6319148, weightedAverage=1.6E-7]
PoloniexChartData [date=2015-07-25 00:00:00 GMT, high=1.8E-7, low=1.5E-7, open=1.6E-7, close=1.6E-7, volume=5.62228359, quoteVolume=33413895.190432, weightedAverage=1.6E-7]
PoloniexChartData [date=2015-07-26 00:00:00 GMT, high=2.2E-7, low=1.6E-7, open=1.7E-7, close=2.1E-7, volume=11.01025179, quoteVolume=55835462.081524, weightedAverage=1.9E-7]
PoloniexChartData [date=2015-07-27 00:00:00 GMT, high=2.3E-7, low=1.9E-7, open=2.1E-7, close=2.0E-7, volume=1.95309233, quoteVolume=9473028.0152063, weightedAverage=2.0E-7]
PoloniexChartData [date=2015-07-28 00:00:00 GMT, high=2.4E-7, low=2.0E-7, open=2.1E-7, close=2.4E-7, volume=6.63045511, quoteVolume=30892595.207161, weightedAverage=2.1E-7]
PoloniexChartData [date=2015-07-29 00:00:00 GMT, high=2.7E-7, low=2.0E-7, open=2.2E-7, close=2.2E-7, volume=8.77561028, quoteVolume=35941510.74452, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-07-30 00:00:00 GMT, high=2.8E-7, low=2.0E-7, open=2.5E-7, close=2.7E-7, volume=10.88539386, quoteVolume=43692151.494994, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-07-31 00:00:00 GMT, high=3.3E-7, low=2.4E-7, open=2.7E-7, close=3.0E-7, volume=29.49100002, quoteVolume=98659990.742903, weightedAverage=2.9E-7]
PoloniexChartData [date=2015-08-01 00:00:00 GMT, high=3.0E-7, low=2.6E-7, open=3.0E-7, close=2.6E-7, volume=11.40237658, quoteVolume=40412798.21444, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-02 00:00:00 GMT, high=3.1E-7, low=2.5E-7, open=2.7E-7, close=2.7E-7, volume=13.149423, quoteVolume=49024111.980121, weightedAverage=2.6E-7]
PoloniexChartData [date=2015-08-03 00:00:00 GMT, high=2.7E-7, low=2.3E-7, open=2.7E-7, close=2.6E-7, volume=23.99662948, quoteVolume=96707956.877675, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-08-04 00:00:00 GMT, high=2.7E-7, low=2.4E-7, open=2.6E-7, close=2.5E-7, volume=13.81663056, quoteVolume=55514598.868233, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-08-05 00:00:00 GMT, high=3.3E-7, low=2.4E-7, open=2.5E-7, close=2.8E-7, volume=49.41980683, quoteVolume=170828106.77421, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-06 00:00:00 GMT, high=3.3E-7, low=2.7E-7, open=3.1E-7, close=3.0E-7, volume=21.72761275, quoteVolume=71951128.510866, weightedAverage=3.0E-7]
PoloniexChartData [date=2015-08-07 00:00:00 GMT, high=3.1E-7, low=2.7E-7, open=3.0E-7, close=2.7E-7, volume=15.65159583, quoteVolume=55392555.677225, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-08 00:00:00 GMT, high=2.9E-7, low=2.7E-7, open=2.7E-7, close=2.7E-7, volume=9.86803856, quoteVolume=36201175.207186, weightedAverage=2.7E-7]
PoloniexChartData [date=2015-08-09 00:00:00 GMT, high=2.9E-7, low=2.7E-7, open=2.7E-7, close=2.7E-7, volume=7.5933842, quoteVolume=26599690.322733, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-10 00:00:00 GMT, high=2.9E-7, low=2.7E-7, open=2.7E-7, close=2.7E-7, volume=8.49146264, quoteVolume=30759088.740316, weightedAverage=2.7E-7]
PoloniexChartData [date=2015-08-11 00:00:00 GMT, high=2.8E-7, low=2.6E-7, open=2.7E-7, close=2.7E-7, volume=14.02022639, quoteVolume=51096476.687171, weightedAverage=2.7E-7]
PoloniexChartData [date=2015-08-12 00:00:00 GMT, high=3.0E-7, low=2.7E-7, open=2.7E-7, close=2.7E-7, volume=12.6109665, quoteVolume=44676143.142379, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-13 00:00:00 GMT, high=2.9E-7, low=2.7E-7, open=2.7E-7, close=2.9E-7, volume=8.14710039, quoteVolume=29461478.629311, weightedAverage=2.7E-7]
PoloniexChartData [date=2015-08-14 00:00:00 GMT, high=3.0E-7, low=2.7E-7, open=2.9E-7, close=2.8E-7, volume=14.45042342, quoteVolume=51815453.719492, weightedAverage=2.7E-7]
PoloniexChartData [date=2015-08-15 00:00:00 GMT, high=3.0E-7, low=2.8E-7, open=2.8E-7, close=2.9E-7, volume=1.85581765, quoteVolume=6427381.8744042, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-16 00:00:00 GMT, high=3.0E-7, low=2.8E-7, open=2.9E-7, close=2.8E-7, volume=11.9542092, quoteVolume=41780909.548957, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-17 00:00:00 GMT, high=3.0E-7, low=2.8E-7, open=2.9E-7, close=2.8E-7, volume=6.94105983, quoteVolume=24572116.152155, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-18 00:00:00 GMT, high=2.9E-7, low=2.8E-7, open=2.9E-7, close=2.8E-7, volume=1.83057308, quoteVolume=6497498.8748978, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-19 00:00:00 GMT, high=2.9E-7, low=2.8E-7, open=2.8E-7, close=2.8E-7, volume=1.72673666, quoteVolume=6166565.0402559, weightedAverage=2.8E-7]
PoloniexChartData [date=2015-08-20 00:00:00 GMT, high=2.8E-7, low=2.7E-7, open=2.8E-7, close=2.7E-7, volume=6.58793524, quoteVolume=24233190.583522, weightedAverage=2.7E-7]
PoloniexChartData [date=2015-08-21 00:00:00 GMT, high=2.8E-7, low=2.6E-7, open=2.7E-7, close=2.6E-7, volume=13.4847171, quoteVolume=51471338.236795, weightedAverage=2.6E-7]
PoloniexChartData [date=2015-08-22 00:00:00 GMT, high=2.8E-7, low=2.6E-7, open=2.6E-7, close=2.6E-7, volume=3.16000659, quoteVolume=12095302.572808, weightedAverage=2.6E-7]
PoloniexChartData [date=2015-08-23 00:00:00 GMT, high=2.7E-7, low=2.6E-7, open=2.6E-7, close=2.6E-7, volume=2.04737374, quoteVolume=7817240.1636973, weightedAverage=2.6E-7]
PoloniexChartData [date=2015-08-24 00:00:00 GMT, high=2.7E-7, low=2.6E-7, open=2.7E-7, close=2.6E-7, volume=3.71674651, quoteVolume=14187740.227075, weightedAverage=2.6E-7]
PoloniexChartData [date=2015-08-25 00:00:00 GMT, high=2.7E-7, low=2.6E-7, open=2.6E-7, close=2.7E-7, volume=0.27140283, quoteVolume=1043799.3800582, weightedAverage=2.6E-7]
PoloniexChartData [date=2015-08-26 00:00:00 GMT, high=2.7E-7, low=2.5E-7, open=2.7E-7, close=2.6E-7, volume=3.44619243, quoteVolume=13417743.597084, weightedAverage=2.5E-7]
PoloniexChartData [date=2015-08-27 00:00:00 GMT, high=2.7E-7, low=2.5E-7, open=2.6E-7, close=2.5E-7, volume=1.02171938, quoteVolume=4005494.296578, weightedAverage=2.5E-7]
PoloniexChartData [date=2015-08-28 00:00:00 GMT, high=2.6E-7, low=2.4E-7, open=2.5E-7, close=2.5E-7, volume=1.69957673, quoteVolume=6744859.3690903, weightedAverage=2.5E-7]
PoloniexChartData [date=2015-08-29 00:00:00 GMT, high=2.5E-7, low=2.2E-7, open=2.5E-7, close=2.4E-7, volume=6.17928441, quoteVolume=25026510.928415, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-08-30 00:00:00 GMT, high=2.7E-7, low=2.4E-7, open=2.4E-7, close=2.6E-7, volume=7.80632062, quoteVolume=31022067.9203, weightedAverage=2.5E-7]
PoloniexChartData [date=2015-08-31 00:00:00 GMT, high=2.5E-7, low=2.4E-7, open=2.5E-7, close=2.4E-7, volume=2.87382682, quoteVolume=11595661.427704, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-09-01 00:00:00 GMT, high=2.5E-7, low=2.3E-7, open=2.5E-7, close=2.4E-7, volume=5.59471357, quoteVolume=22832439.042253, weightedAverage=2.4E-7]
