PoloniexChartData [date=Sat Jul 30 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=1.51191285, quoteVolume=16553503.103551, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Jul 31 20:00:00 EDT 2016, high=1.4E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=19.17808495, quoteVolume=172922957.52191, weightedAverage=1.1E-7]
PoloniexChartData [date=Mon Aug 01 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=1.0E-7, volume=15.47755781, quoteVolume=173602848.61146, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Aug 02 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=2.89930491, quoteVolume=33308110.836992, weightedAverage=8.0E-8]
PoloniexChartData [date=Wed Aug 03 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=0.30057472, quoteVolume=3411672.3290595, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Aug 04 20:00:00 EDT 2016, high=1.1E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=7.06299476, quoteVolume=78166910.042884, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Aug 05 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=9.0E-8, volume=3.03049045, quoteVolume=33729229.18837, weightedAverage=8.0E-8]
PoloniexChartData [date=Sat Aug 06 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=2.76175312, quoteVolume=32322836.102544, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Aug 07 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=0.71177448, quoteVolume=7375901.4963589, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=9.0E-8, volume=3.4385129, quoteVolume=39322098.561019, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=1.0E-7, volume=3.12571428, quoteVolume=34726715.37676, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=1.01484163, quoteVolume=10965462.331123, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=9.0E-8, volume=2.16064484, quoteVolume=24494034.719636, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=0.89923427, quoteVolume=9553151.272631, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=9.0E-8, volume=2.30187936, quoteVolume=27414829.390846, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=4.52542157, quoteVolume=55346258.776258, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=0.4686148, quoteVolume=5433114.9475, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=1.3422191, quoteVolume=16310711.435009, weightedAverage=8.0E-8]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=0.95537405, quoteVolume=10619514.361083, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=0.8886848, quoteVolume=10387292.75353, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=1.44048042, quoteVolume=16546745.012356, weightedAverage=8.0E-8]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=0.07189218, quoteVolume=859329.3888889, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=0.41333, quoteVolume=5129661.7988333, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=1.79558322, quoteVolume=21749940.160996, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=0.63425222, quoteVolume=7924861.1304314, weightedAverage=8.0E-8]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=0.12864481, quoteVolume=1605726.6057414, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=0.04779103, quoteVolume=580148.415, weightedAverage=8.0E-8]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=8.0E-8, close=7.0E-8, volume=1.90019876, quoteVolume=24185065.382047, weightedAverage=7.0E-8]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=7.0E-8, close=8.0E-8, volume=0.87407706, quoteVolume=10947827.224797, weightedAverage=7.0E-8]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=1.40207893, quoteVolume=16175859.697993, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=0.23739513, quoteVolume=2897263.6964189, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Aug 30 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=8.0E-8, close=8.0E-8, volume=2.06900205, quoteVolume=25652795.887968, weightedAverage=8.0E-8]
