PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=5.2E-7, low=4.7E-7, open=5.1E-7, close=4.9E-7, volume=60.02880005, quoteVolume=122903606.44547, weightedAverage=4.8E-7]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=5.0E-7, low=4.0E-7, open=4.7E-7, close=4.4E-7, volume=93.55674653, quoteVolume=207921484.82195, weightedAverage=4.4E-7]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=4.9E-7, low=4.2E-7, open=4.4E-7, close=4.6E-7, volume=59.35195827, quoteVolume=132621433.46001, weightedAverage=4.4E-7]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=5.4E-7, low=4.3E-7, open=4.5E-7, close=4.9E-7, volume=119.81153713, quoteVolume=246699563.14264, weightedAverage=4.8E-7]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=5.2E-7, low=4.5E-7, open=4.9E-7, close=4.9E-7, volume=50.00625897, quoteVolume=103850298.08448, weightedAverage=4.8E-7]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=5.5E-7, low=4.9E-7, open=4.9E-7, close=5.3E-7, volume=81.75514319, quoteVolume=157096806.97047, weightedAverage=5.2E-7]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=5.8E-7, low=4.7E-7, open=5.3E-7, close=5.6E-7, volume=228.04221684, quoteVolume=428385839.36996, weightedAverage=5.3E-7]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=6.0E-7, low=5.2E-7, open=5.6E-7, close=5.4E-7, volume=81.43189896, quoteVolume=145837799.44811, weightedAverage=5.5E-7]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=5.4E-7, low=4.9E-7, open=5.3E-7, close=5.1E-7, volume=50.76453193, quoteVolume=99111596.490318, weightedAverage=5.1E-7]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=5.3E-7, low=4.9E-7, open=5.1E-7, close=5.0E-7, volume=30.66865792, quoteVolume=60451643.710297, weightedAverage=5.0E-7]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=5.4E-7, low=4.9E-7, open=5.1E-7, close=5.3E-7, volume=47.10308911, quoteVolume=90985889.647926, weightedAverage=5.1E-7]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=5.6E-7, low=5.1E-7, open=5.3E-7, close=5.3E-7, volume=43.78291969, quoteVolume=81553666.278201, weightedAverage=5.3E-7]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=5.6E-7, low=5.1E-7, open=5.3E-7, close=5.3E-7, volume=58.22351402, quoteVolume=108098319.86606, weightedAverage=5.3E-7]
