PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=2.8E-7, low=2.6E-7, open=2.8E-7, close=2.7E-7, volume=0.15031555, quoteVolume=561096.28528971, weightedAverage=2.6E-7]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=2.8E-7, low=2.5E-7, open=2.6E-7, close=2.5E-7, volume=0.16842055, quoteVolume=647972.97693655, weightedAverage=2.5E-7]
PoloniexChartData [date=Tue Jun 28 20:00:00 EDT 2016, high=2.8E-7, low=2.5E-7, open=2.6E-7, close=2.8E-7, volume=0.19370247, quoteVolume=705951.18360748, weightedAverage=2.7E-7]
PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=2.9E-7, low=2.6E-7, open=2.6E-7, close=2.9E-7, volume=0.76894528, quoteVolume=2681567.2271534, weightedAverage=2.8E-7]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=4.5E-7, low=2.7E-7, open=2.9E-7, close=3.6E-7, volume=3.67143318, quoteVolume=10192925.041132, weightedAverage=3.6E-7]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=5.9E-7, low=3.2E-7, open=3.6E-7, close=4.3E-7, volume=13.9287336, quoteVolume=29666593.753845, weightedAverage=4.6E-7]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=5.0E-7, low=3.4E-7, open=4.4E-7, close=4.1E-7, volume=3.33437602, quoteVolume=8090713.7099332, weightedAverage=4.1E-7]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=4.5E-7, low=2.9E-7, open=4.0E-7, close=3.9E-7, volume=4.61521276, quoteVolume=12716506.548429, weightedAverage=3.6E-7]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=5.1E-7, low=3.6E-7, open=3.9E-7, close=4.6E-7, volume=2.60928048, quoteVolume=5930349.9305993, weightedAverage=4.3E-7]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=4.8E-7, low=4.1E-7, open=4.2E-7, close=4.4E-7, volume=0.62371733, quoteVolume=1383566.5031877, weightedAverage=4.5E-7]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=4.5E-7, low=3.2E-7, open=4.5E-7, close=3.7E-7, volume=0.85554631, quoteVolume=2065378.158968, weightedAverage=4.1E-7]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=3.9E-7, low=2.8E-7, open=3.8E-7, close=3.8E-7, volume=0.63949921, quoteVolume=2031648.6977025, weightedAverage=3.1E-7]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=5.6E-7, low=2.8E-7, open=3.8E-7, close=4.0E-7, volume=3.57180832, quoteVolume=8358646.7657766, weightedAverage=4.2E-7]
PoloniexChartData [date=Sat Jul 09 20:00:00 EDT 2016, high=5.2E-7, low=3.4E-7, open=3.8E-7, close=4.5E-7, volume=1.55574429, quoteVolume=3523309.5246163, weightedAverage=4.4E-7]
PoloniexChartData [date=Sun Jul 10 20:00:00 EDT 2016, high=4.7E-7, low=3.9E-7, open=4.7E-7, close=4.2E-7, volume=0.42269424, quoteVolume=1010326.1959373, weightedAverage=4.1E-7]
PoloniexChartData [date=Mon Jul 11 20:00:00 EDT 2016, high=4.8E-7, low=3.9E-7, open=4.3E-7, close=4.4E-7, volume=0.54402683, quoteVolume=1261494.6880663, weightedAverage=4.3E-7]
PoloniexChartData [date=Tue Jul 12 20:00:00 EDT 2016, high=4.5E-7, low=3.9E-7, open=4.5E-7, close=4.2E-7, volume=0.24204736, quoteVolume=597459.00971845, weightedAverage=4.0E-7]
PoloniexChartData [date=Wed Jul 13 20:00:00 EDT 2016, high=4.9E-7, low=3.5E-7, open=4.2E-7, close=4.3E-7, volume=1.52763592, quoteVolume=3914335.6101754, weightedAverage=3.9E-7]
PoloniexChartData [date=Thu Jul 14 20:00:00 EDT 2016, high=5.1E-7, low=4.1E-7, open=4.3E-7, close=5.0E-7, volume=1.30009986, quoteVolume=2689862.6148501, weightedAverage=4.8E-7]
PoloniexChartData [date=Fri Jul 15 20:00:00 EDT 2016, high=5.2E-7, low=4.5E-7, open=4.9E-7, close=5.0E-7, volume=0.89841385, quoteVolume=1812702.5290278, weightedAverage=4.9E-7]
PoloniexChartData [date=Sat Jul 16 20:00:00 EDT 2016, high=5.0E-7, low=4.4E-7, open=5.0E-7, close=4.7E-7, volume=1.99407566, quoteVolume=4449608.8173376, weightedAverage=4.4E-7]
PoloniexChartData [date=Sun Jul 17 20:00:00 EDT 2016, high=4.9E-7, low=4.2E-7, open=4.5E-7, close=4.6E-7, volume=0.76479593, quoteVolume=1643733.6810255, weightedAverage=4.6E-7]
PoloniexChartData [date=Mon Jul 18 20:00:00 EDT 2016, high=4.9E-7, low=4.5E-7, open=4.7E-7, close=4.5E-7, volume=0.41469473, quoteVolume=907557.35425538, weightedAverage=4.5E-7]
PoloniexChartData [date=Tue Jul 19 20:00:00 EDT 2016, high=5.1E-7, low=4.5E-7, open=4.8E-7, close=5.1E-7, volume=2.30627011, quoteVolume=4771110.0657615, weightedAverage=4.8E-7]
PoloniexChartData [date=Wed Jul 20 20:00:00 EDT 2016, high=5.8E-7, low=5.1E-7, open=5.1E-7, close=5.6E-7, volume=5.90170832, quoteVolume=11105070.88865, weightedAverage=5.3E-7]
PoloniexChartData [date=Thu Jul 21 20:00:00 EDT 2016, high=5.8E-7, low=4.9E-7, open=5.4E-7, close=5.4E-7, volume=4.16964028, quoteVolume=8005292.4093416, weightedAverage=5.2E-7]
